Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
14.182511666658684,4.155508575439454,-9.514701232910157,-0.7382647705078126
14.202403666669852,1.483564910888672,-6.1528422546386725,-0.5959107971191406
14.222294666658854,-1.8016534423828126,-4.764778747558594,-0.43499542236328126
14.242186666670023,-3.1524444580078126,-4.243113555908204,-0.7488926696777344
14.262077666659025,-2.8496241760253906,-4.887822875976562,-0.8891510009765625
14.281969666670193,-1.129102020263672,-5.279857635498047,-0.7156617736816406
14.301860666659195,0.5090913391113282,-6.581101684570312,-0.6616241455078126
14.321752666670363,1.1382330322265626,-6.553858337402344,0.19160156250000002
14.341643666659365,-0.3902384948730469,-4.561052398681641,0.204774169921875
14.361535666670534,-2.204465789794922,-3.616217193603516,-0.4231700134277344
14.381426666659536,-3.3329690551757816,-3.9896905517578123,-1.1253598022460938
14.401318666670704,-3.5187327575683596,-3.3614469909667974,-0.9175918579101563
14.42121066666732,-3.344046020507813,-2.6656938171386724,-0.24084915161132814
14.441101666670875,-3.0608349609375,-2.1986650085449213,0.030985565185546876
14.460993666667491,-2.671195220947266,-1.645265808105469,-0.16450790405273438
14.480884666671045,-1.683399353027344,-1.134677581787109,-0.05718109130859375
14.500776666667662,-1.990111541748047,-1.1225527954101562,-0.11570938110351563
14.520667666671216,-0.9126521301269531,-1.1474011230468744,-0.33245864868164066
14.540559666667832,0.04685256958007813,-0.047937469482421946,-0.06541397094726563
14.560450666671386,-0.14564712524414064,1.2619885253906258,-0.2709365844726563
14.580342666668002,-0.09849517822265626,3.9255496215820314,0.12723541259765625
14.600234666664619,-0.7321275329589844,6.4054426574707035,0.7514373779296876
14.620125666668173,-0.19145187377929687,8.915572814941406,1.4715898132324219
14.64001766666479,-0.29069549560546876,9.188455352783203,2.084864501953125
14.659908666668343,1.1283535766601562,9.177827453613283,1.8514997863769531
14.67980066666496,0.8017327880859375,10.12520736694336,0.49367340087890627
14.699691666668514,-0.3097059631347656,9.516573028564453,-0.17109420776367187
14.7195838750049,0.101788330078125,8.583563232421875,-0.33290771484375004
14.739474874993903,0.5466632080078125,6.117142181396485,-0.9873468017578125
14.759366875005071,0.39173538208007813,5.179192657470703,-0.9213340759277344
14.779257874994073,-1.342258758544922,5.714329833984375,-0.7402107238769532
14.799149875005241,-1.9874171447753908,7.214959259033204,-0.9074130249023438
14.819040874994243,-4.326602783203125,6.602433013916016,-1.5298187255859377
14.838932875005412,-4.253704376220703,5.791569213867188,-1.7627343750000002
14.858823874994414,-5.355862426757813,3.415709838867188,-1.5404466247558595
14.878715875005582,-4.763843536376953,1.315277709960938,-1.7904267883300782
14.898607875002199,-5.163512420654297,-0.3519552612304686,-2.4038511657714845
14.918498875005753,-6.598578186035157,-0.4410200500488273,-2.0817210388183596
14.93839087500237,-5.393733673095704,0.05714401245117173,-1.6193325805664063
14.958281875005923,-6.629264373779297,-1.3077177429199214,-1.3463003540039062
14.97817387500254,-4.985682220458985,-3.6974981689453124,-1.9125727844238283
14.998064875006094,-3.447181549072266,-5.415325927734376,-1.688339080810547
15.01795687500271,-2.1956341552734377,-6.0842848205566415,-1.2031979370117187
15.037847874991712,-1.7624349975585938,-6.32752899169922,-1.3416600036621094
15.05773987500288,-2.762355651855469,-5.829664306640625,-1.0575508117675783
15.077630874991883,-3.394640808105469,-5.989980926513672,-0.9601034545898438
15.097522875003051,-3.2924034118652346,-5.809905395507812,-0.46837600708007815
15.117413874992053,-0.26599685668945316,-6.906674652099609,0.009580078125
15.137305875003221,2.604733428955078,-8.84993362426758,-0.2435435485839844
15.157196874992223,3.4027239990234377,-9.184637603759766,-0.8421487426757813
15.177088875003392,0.9186396789550781,-7.948358459472656,-0.6030958557128907
15.196979874992394,-0.7210505676269532,-6.559546508789063,-0.7117698669433594
15.216871875003562,-0.6724017333984376,-5.012663269042969,-0.8544232177734375
15.236762874992564,-1.1093431091308594,-4.787082366943359,-0.9012757873535157
15.256654875003733,-1.0207273864746094,-4.446091461181641,-0.8771759033203126
15.276545874992735,-1.2479548645019531,-4.380078735351562,-1.2121792602539063
15.296437875003903,-1.8760487365722658,-4.321999511718751,-1.3672567749023439
15.316328874992905,-3.187172241210938,-4.519289245605469,-1.7113911437988283
15.336220875004074,-3.2052845764160156,-3.765606536865235,-1.2778926086425781
15.356111874993076,-2.7363098144531253,-3.43584228515625,-0.846639404296875
15.37600287499663,-1.9893630981445314,-3.020605773925782,-0.5408253479003906
15.395894874993246,-2.1212388610839845,-2.6935359191894523,-0.4643344116210938
15.4157858749968,-2.6830206298828125,-2.2172264099121097,-0.46418472290039064
15.435677874993416,-1.1858340454101564,-0.4435647583007807,-0.4819976806640625
15.45556887499697,-1.7736616516113282,-0.020843811035156534,-0.830922088623047
15.475460874993587,-1.0232720947265626,0.11222946166992287,-1.021475830078125
15.49535187499714,-1.2641212463378906,2.100395050048828,-0.6697073364257813
15.515243874993757,-2.1742286682128906,5.03100082397461,0.0868194580078125
15.535134874997311,-1.9850221252441407,6.983690185546875,0.8541238403320313
15.555026874993928,-1.1705657958984375,8.893867950439454,1.4407539367675781
15.574917874997482,-0.3737727355957031,9.559833068847658,1.7100439453125
15.594809874994098,-0.9430389404296875,9.437088317871094,1.2606784057617189
15.614700874997652,-0.2016307067871094,9.822237396240235,0.8536747741699219
15.634591875001206,0.6996450805664063,9.057477722167969,0.7322772216796876
15.654483874997823,0.30222152709960937,7.673605499267579,-0.3598516845703125
15.674374875001376,1.1546987915039064,6.48522674560547,-0.8738827514648438
15.694266874997993,0.3674858093261719,5.131292266845704,-0.8813671875000001
15.714155124995159,-0.48948211669921876,5.007200317382813,-0.8065228271484376
15.734047124991775,-1.0901829528808595,4.912746734619141,-0.9363029479980469
15.75393812499533,-2.142644348144531,4.627739410400391,-1.0569520568847657
15.773829124998883,-3.7151243591308596,5.360615386962891,-1.064735870361328
15.7937211249955,-5.063969421386719,5.058094482421875,-1.1103909301757813
15.813612124999054,-4.584516448974609,3.7796031188964845,-1.6052618408203125
15.83350412499567,-5.161566467285157,1.1872938537597655,-0.9487271118164063
15.853395124999224,-5.250780944824219,-0.3371360778808601,-1.0204280090332032
15.87328712499584,-5.409750366210938,-0.6588171386718749,-1.5608042907714845
15.893178124999395,-4.9424221801757815,-0.19852432250976548,-1.4826667785644532
15.913069125002949,-6.761439514160156,-0.28624191284179723,-0.6030958557128907
15.932961124999565,-6.735393676757813,-0.8924812316894535,-0.8728349304199219
15.952852125003119,-5.763165435791016,-2.176810455322265,-1.097966766357422
15.972744124999736,-3.6583923339843754,-4.449983367919922,-1.297950897216797
15.99263512500329,-2.49800537109375,-6.672112426757812,-1.5631993103027344
16.01252612499229,-2.519261169433594,-7.5280325317382815,-1.6474740600585938
16.03241812500346,-1.5811619567871094,-6.786624298095704,-1.4450949096679688
16.052309124992462,-1.137783966064453,-5.962288513183594,-1.1861334228515625
16.07220112500363,-0.6424639892578126,-6.662981414794922,-1.0127938842773438
16.092092124992632,1.314716033935547,-8.3144970703125,-1.0864407348632814
16.111983124996186,2.8093579101562502,-7.779060516357424,-1.0557545471191407
16.131875124992803,2.2656884765625,-7.013402709960937,-1.13763427734375
16.151766124996357,0.7194039916992188,-5.844633178710938,-1.0553054809570312
16.171658124992973,-0.2697390747070313,-5.262194366455079,-0.849034423828125
16.191549124996527,-1.0300080871582031,-4.767323455810548,-0.6171665954589844
16.21144012500008,-1.159039764404297,-4.604312438964843,-0.690963134765625
16.231332124996698,-1.5896942138671877,-4.2281446838378915,-0.7259902954101562
16.25122312500025,-2.095791778564453,-4.120069427490234,-0.6890171813964844
16.271115124996868,-2.5607249450683596,-3.6413648986816405,-0.3550616455078125
16.291006125000422,-3.6009118652343752,-3.4847904968261716,-0.3320095825195313
16.310897125003976,-3.1533425903320316,-3.1699951171875007,-0.384400634765625
16.330789125000592,-3.038082275390625,-3.4039585876464837,-0.5069956970214844
16.350680125004146,-1.8163229370117189,-3.745997314453126,-0.7511380004882813
16.370572125000763,-1.1091934204101563,-3.959603118896485,-0.415535888671875
16.390463125004317,-1.3434562683105469,-3.062967681884766,-0.4122427368164063
16.41035412499332,-1.4269825744628908,-1.439443817138672,-0.5984555053710938
16.430246125004487,-2.62494140625,0.05310241699218743,-0.9967771911621094
16.45013712499349,-1.4998809814453127,2.40366439819336,-0.7427554321289063
16.470028124997043,-1.654808807373047,3.0874424743652344,-0.13906082153320312
